entry_time,exit_time,side,entry_price,exit_price,pnl_pct,net_pnl,result,entry_trigger,exit_trigger,bars_in_trade
2026-01-12 00:00:00+00:00,2026-01-12 08:15:00+00:00,LONG,90917.71,91449.05,0.584,529.3399999999965,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,33
2026-01-12 15:30:00+00:00,2026-01-12 21:45:00+00:00,LONG,91529.71,91055.17,-0.518,-476.54000000000815,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,25
2026-01-13 04:15:00+00:00,2026-01-14 06:15:00+00:00,LONG,91473.1,94697.04,3.524,3221.939999999988,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,104
2026-01-14 14:00:00+00:00,2026-01-15 00:30:00+00:00,LONG,95476.56,96596.43,1.173,1117.8699999999953,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,42
2026-01-15 08:45:00+00:00,2026-01-15 14:30:00+00:00,LONG,96643.0,95825.51,-0.846,-819.4900000000052,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,23
2026-01-15 17:30:00+00:00,2026-01-15 18:00:00+00:00,LONG,96953.4,96258.36,-0.717,-697.0399999999936,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,2
2026-01-16 06:45:00+00:00,2026-01-16 10:30:00+00:00,LONG,95741.21,95385.45,-0.372,-357.7600000000093,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,15
2026-01-16 20:45:00+00:00,2026-01-17 04:00:00+00:00,LONG,95553.6,95325.96,-0.238,-229.63999999999942,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,29
2026-01-17 12:00:00+00:00,2026-01-17 19:30:00+00:00,LONG,95362.25,95299.7,-0.066,-64.55000000000291,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,30
2026-01-18 06:15:00+00:00,2026-01-18 07:15:00+00:00,LONG,95187.63,95101.99,-0.09,-87.63999999999942,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,4
2026-01-18 09:00:00+00:00,2026-01-18 12:45:00+00:00,LONG,95185.0,95113.25,-0.075,-73.75,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,15
2026-01-18 14:15:00+00:00,2026-01-18 14:45:00+00:00,LONG,95165.0,94955.79,-0.22,-211.2100000000064,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,2
